delivery_id;delivery_partner;package_type;vehicle_type;delivery_mode;region;weather_condition;distance_km;package_weight_kg;delivery_time_hours;expected_time_hours;delayed;delivery_status;delivery_rating;delivery_cost
250.99;blue dart;automobile parts;scooter;same day;north;cold;214.01.00;40.85;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;5;1293.05.00
250.99;ecom express;clothing;bike;standard;central;clear;251.07.00;34.09.00;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000024;no;delivered;4;1363.02.00
250.99;amazon logistics;furniture;van;standard;east;foggy;214.09.00;0,254861111;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000024;no;delivered;5;1091.51.00
250.99;shadowfax;documents;ev van;two day;north;stormy;115.04.00;0,046527778;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000016;no;delivered;4;578.59.00
250.99;dhl;clothing;ev bike;express;east;foggy;293.08.00;41.03.00;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000007;yes;delayed;3;16.327.205.999.999.900
250.99;amazon logistics;cosmetics;scooter;standard;east;clear;286.08.00;46.67;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000024;no;delivered;3;1574.01.00
250.99;fedex;furniture;truck;express;south;hot;136.01.00;48.01.00;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000004;no;delivered;5;874.08.00
250.99;dhl;furniture;bike;two day;east;rainy;291.04.00;06.12;1970-01-01 00:00:00.000000013;1970-01-01 00:00:00.000000016;no;delivered;5;1475.36.00
250.99;fedex;furniture;bike;standard;south;hot;295.00.00;0,838888889;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;5;1534.04.00
250.99;ekart;cosmetics;truck;same day;central;rainy;223.03.00;06.29;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000008;yes;failed;1;1235.37.00
250.99;delhivery;automobile parts;scooter;express;south;hot;242.05.00;46.73;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000006;yes;failed;1;1402.69
250.99;fedex;furniture;ev bike;two day;central;rainy;35.01.00;0,966666667;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000016;no;delivered;5;243.66
250.99;amazon logistics;clothing;bike;express;central;stormy;81.08.00;45.51.00;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000003;yes;delayed;2;595.53.00
250.99;delhivery;documents;bike;same day;east;clear;37.06.00;0,972916667;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000008;no;delivered;4;356.43.00
250.99;amazon logistics;furniture;ev bike;express;north;rainy;46.08.00;0,216666667;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000002;yes;delayed;2;298.16.00
250.99;amazon logistics;electronics;scooter;same day;central;hot;233.04.00;18.00;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;5;1321.00.00
250.99;ekart;documents;bike;standard;east;rainy;62.02.00;48.58.00;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000024;no;delivered;3;456.74
250.99;shadowfax;clothing;ev bike;standard;south;foggy;114.00.00;43.85;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000024;no;delivered;4;701.55.00
250.99;blue dart;automobile parts;ev bike;same day;north;foggy;131.05.00;25.79;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;5;834.87
250.99;xpressbees;groceries;ev van;express;south;rainy;21.04;16.58;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000002;yes;delayed;3;206.74
250.99;xpressbees;fragile items;truck;standard;west;stormy;258.05.00;08.37;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000024;no;delivered;5;1317.61
250.99;dhl;furniture;van;two day;east;rainy;253.09.00;07.07;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000016;no;delivered;3;1290.71
250.99;delhivery;furniture;ev bike;same day;north;stormy;06.07;0,358333333;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;4;157.38.00
250.99;ecom express;automobile parts;ev bike;standard;west;hot;178.01.00;26.07.00;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000024;no;delivered;4;970.06.00
250.99;fedex;cosmetics;truck;standard;south;hot;180.00.00;35.04.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000024;no;delivered;3;1005.12.00
250.99;ecom express;documents;scooter;two day;north;rainy;187.09.00;0,65;1970-01-01 00:00:00.000000011;1970-01-01 00:00:00.000000016;no;delivered;4;984.38.00
250.99;xpressbees;documents;ev van;express;west;hot;78.03.00;49.22.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000003;yes;failed;1;589.16.00
250.99;amazon logistics;pharmacy;ev bike;express;west;hot;51.06.00;23.45;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000003;no;delivered;4;378.35.00
250.99;xpressbees;electronics;ev van;same day;central;stormy;26.09.00;29.86;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;5;324.08.00
250.99;blue dart;clothing;truck;express;north;hot;216.07.00;26.89;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000006;yes;delayed;2;1214.17.00
250.99;dhl;electronics;van;standard;south;foggy;148.02.00;38.06.00;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000024;no;delivered;4;856.08.00
250.99;fedex;cosmetics;ev van;same day;south;clear;184.02.00;46.79;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;4;1161.37.00
250.99;fedex;groceries;truck;same day;east;stormy;167.07.00;42.04.00;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000008;no;delivered;5;1065.07.00
250.99;delhivery;electronics;ev bike;standard;central;cold;197.07.00;25.84;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;5;1066.02.00
250.99;fedex;cosmetics;ev van;standard;north;foggy;211.09.00;46.94;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000024;no;delivered;5;1200.32.00
250.99;blue dart;pharmacy;scooter;same day;west;stormy;64.03.00;21.05;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;5;484.65
250.99;xpressbees;cosmetics;scooter;two day;east;hot;206.07.00;0,185416667;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000016;no;delivered;4;1045.11.00
250.99;xpressbees;clothing;bike;two day;east;cold;83.05.00;0,30625;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000016;no;delivered;5;437.93
250.99;ecom express;fragile items;truck;same day;central;foggy;09.03;47.62;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000008;no;delivered;5;289.36.00
250.99;xpressbees;clothing;ev bike;standard;west;rainy;245.09.00;47.01.00;1970-01-01 00:00:00.000000012;1970-01-01 00:00:00.000000024;no;delivered;3;1370.53.00
250.99;dhl;pharmacy;ev van;express;north;stormy;225.07.00;45.07.00;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000006;yes;delayed;2;1315.06.00
250.99;ecom express;pharmacy;bike;express;east;hot;226.00.00;37.62;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000006;yes;delayed;2;1292.86
250.99;dhl;clothing;bike;two day;west;hot;113.03.00;34.03.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000016;no;delivered;5;668.59.00
250.99;ekart;groceries;ev bike;standard;north;stormy;232.03.00;41.91;1970-01-01 00:00:00.000000012;1970-01-01 00:00:00.000000024;no;delivered;4;1287.23.00
250.99;ecom express;electronics;scooter;express;east;cold;87.07.00;22.38;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000003;yes;failed;2;555.64
250.99;dhl;furniture;van;same day;east;rainy;90.01.00;27.46.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;4;632.88
250.99;delhivery;cosmetics;bike;express;north;rainy;110.04.00;44.94;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000004;yes;delayed;2;736.82
250.99;fedex;documents;bike;same day;central;cold;217.03.00;03.03;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;5;1195.59.00
250.99;amazon logistics;furniture;truck;standard;south;rainy;75.02.00;28.25.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000024;no;delivered;3;460.75
250.99;blue dart;automobile parts;ev bike;two day;south;hot;23.02;19.18;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;5;173.54.00
250.99;fedex;documents;ev van;express;north;rainy;78.05.00;27.87;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000003;yes;delayed;3;526.11.00
250.99;blue dart;documents;van;express;north;hot;138.03.00;47.87;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000004;yes;delayed;3;885.11.00
250.99;xpressbees;clothing;truck;two day;north;cold;96.04.00;39.33.00;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000016;no;delivered;4;599.99
250.99;fedex;furniture;ev van;standard;west;cold;216.02.00;1,022916667;1970-01-01 00:00:00.000000011;1970-01-01 00:00:00.000000024;no;delivered;4;1152.79
250.99;ekart;clothing;van;express;south;stormy;24.01.00;34.01.00;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000002;yes;delayed;3;272.08.00
250.99;ekart;fragile items;scooter;standard;east;rainy;197.01.00;28.23.00;1970-01-01 00:00:00.000000013;1970-01-01 00:00:00.000000024;no;delivered;4;1070.19.00
250.99;shadowfax;documents;ev bike;same day;west;foggy;94.08.00;10.02;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000008;no;delivered;4;604.06.00
250.99;xpressbees;pharmacy;bike;express;south;hot;56.00.00;0,979861111;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000003;yes;delayed;2;398.73
250.99;ecom express;clothing;scooter;same day;east;stormy;70.07.00;0,258333333;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000008;yes;delayed;3;470.66
250.99;dhl;documents;bike;same day;east;rainy;60.04.00;0,98125;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;5;470.79
250.99;blue dart;clothing;truck;same day;central;stormy;258.04.00;22.08;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000008;yes;failed;2;1458.24.00
250.99;amazon logistics;furniture;scooter;two day;central;cold;89.03.00;34.98;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000016;no;delivered;4;551.44.00
250.99;shadowfax;electronics;van;two day;south;clear;244.00.00;0,584722222;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000016;no;delivered;4;1260.86
250.99;xpressbees;electronics;truck;standard;south;stormy;87.08.00;0,845138889;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000024;no;delivered;4;498.31.00
250.99;delhivery;furniture;scooter;same day;east;stormy;03.06;20.07;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000008;no;delivered;4;172.06.00
250.99;ekart;furniture;van;two day;south;cold;03.06;0,385416667;1970-01-01 00:00:00.000000000;1970-01-01 00:00:00.000000016;no;delivered;3;956.674
250.99;xpressbees;documents;van;standard;east;rainy;111.00.00;36.68;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;4;665.04.00
250.99;amazon logistics;groceries;bike;express;east;rainy;256.04.00;33.53.00;1970-01-01 00:00:00.000000011;1970-01-01 00:00:00.000000007;yes;delayed;3;1432.59.00
250.99;dhl;groceries;ev van;same day;east;foggy;177.09.00;20.16;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000008;no;delivered;5;1049.98
250.99;amazon logistics;cosmetics;ev van;two day;east;rainy;204.02.00;08.09;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000016;no;delivered;4;1045.27.00
250.99;amazon logistics;furniture;ev bike;standard;central;cold;125.00.00;39.41.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000024;no;delivered;5;743.23.00
250.99;dhl;fragile items;bike;two day;north;hot;83.03.00;34.71;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000016;no;delivered;4;520.63
250.99;ecom express;clothing;van;standard;west;foggy;193.02.00;33.28.00;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000024;no;delivered;4;1065.84
250.99;ekart;clothing;van;two day;east;foggy;174.03.00;47.29.00;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000016;no;delivered;5;1013.37.00
250.99;ekart;groceries;bike;same day;west;clear;11.04;40.22.00;1970-01-01 00:00:00.000000001;1970-01-01 00:00:00.000000008;no;delivered;5;277.66
250.99;xpressbees;electronics;ev van;express;east;clear;166.04.00;44.96;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000005;yes;delayed;2;1016.88
250.99;shadowfax;cosmetics;van;standard;west;stormy;189.06.00;38.07.00;1970-01-01 00:00:00.000000011;1970-01-01 00:00:00.000000024;no;delivered;5;1062.21.00
250.99;blue dart;groceries;truck;express;west;stormy;111.02.00;37.33.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000004;yes;delayed;2;717.99
250.99;amazon logistics;groceries;ev bike;same day;west;hot;103.02.00;37.97;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000008;no;delivered;5;729.91
250.99;blue dart;furniture;scooter;standard;east;clear;236.04.00;47.28.00;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;4;1323.84
250.99;amazon logistics;electronics;van;same day;central;clear;111.09.00;26.34.00;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;5;738.52.00
250.99;delhivery;groceries;ev van;standard;south;stormy;86.06.00;0,877777778;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000024;no;delivered;5;494.92
250.99;amazon logistics;automobile parts;ev bike;standard;west;clear;235.06.00;48.07.00;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000024;no;delivered;5;1322.21.00
250.99;amazon logistics;pharmacy;truck;same day;south;cold;295.05.00;48.45.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;4;16.327.205.999.999.900
250.99;amazon logistics;pharmacy;truck;two day;west;foggy;56.03.00;43.65;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000016;no;delivered;5;412.45.00
250.99;shadowfax;furniture;bike;two day;central;stormy;114.02.00;28.82;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000016;no;delivered;5;657.46.00
250.99;fedex;furniture;scooter;same day;north;hot;03.06;31.41.00;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000008;no;delivered;4;203.23.00
250.99;xpressbees;automobile parts;bike;same day;west;stormy;146.02.00;22.55;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000008;yes;failed;2;898.65
250.99;ekart;automobile parts;ev bike;same day;east;clear;85.06.00;0,464583333;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000008;no;delivered;4;560.07.00
250.99;amazon logistics;groceries;ev van;express;south;rainy;247.09.00;05.23;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000006;yes;failed;2;1305.19.00
250.99;shadowfax;automobile parts;bike;standard;south;foggy;274.08.00;0,056944444;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;4;1376.46.00
250.99;fedex;electronics;scooter;standard;west;clear;35.07.00;10.08;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000024;no;delivered;3;210.09.00
250.99;fedex;documents;van;express;central;stormy;259.03.00;27.01.00;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000007;yes;failed;1;1427.53.00
250.99;shadowfax;documents;ev bike;same day;south;clear;65.03.00;45.09.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000008;no;delivered;5;561.77
250.99;delhivery;cosmetics;van;express;south;clear;93.01.00;0,895138889;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000003;no;delivered;3;578.17.00
250.99;blue dart;pharmacy;bike;standard;central;hot;265.08.00;32.11.00;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;5;1425.33.00
250.99;ekart;furniture;truck;two day;west;clear;110.02.00;23.24;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000016;no;delivered;4;620.72
250.99;blue dart;documents;bike;standard;west;clear;06.00;0,061111111;1970-01-01 00:00:00.000000001;1970-01-01 00:00:00.000000024;no;delivered;4;956.674
250.99;dhl;furniture;truck;two day;east;foggy;16.05;21.49;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;4;146.97
250.99;xpressbees;documents;ev van;standard;north;cold;102.00.00;0,796527778;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000024;no;delivered;4;566.01.00
250.99;shadowfax;furniture;bike;express;north;rainy;265.04.00;0,691666667;1970-01-01 00:00:00.000000013;1970-01-01 00:00:00.000000007;yes;delayed;3;1424.88
250.99;fedex;groceries;ev van;two day;north;foggy;27.05.00;15.43;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;5;183.79
250.99;amazon logistics;fragile items;truck;two day;south;hot;59.05.00;0,346527778;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;3;320.87
250.99;shadowfax;cosmetics;bike;express;north;cold;290.02.00;29.26.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000007;no;delivered;4;1588.78
250.99;delhivery;clothing;scooter;standard;east;rainy;124.00.00;40.02.00;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000024;no;delivered;4;740.06.00
250.99;xpressbees;automobile parts;scooter;two day;north;clear;261.09.00;41.68;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000016;no;delivered;4;1434.54.00
250.99;shadowfax;pharmacy;ev van;two day;central;rainy;115.06.00;13.57;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000016;no;delivered;5;618.71
250.99;shadowfax;groceries;ev bike;express;east;hot;156.00.00;14.49;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000005;no;delivered;3;873.47.00
250.99;shadowfax;furniture;van;standard;north;foggy;284.01.00;14.35;1970-01-01 00:00:00.000000009;1970-01-01 00:00:00.000000024;no;delivered;4;1463.55.00
250.99;fedex;clothing;truck;same day;north;cold;287.00.00;08.21;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000008;yes;failed;1;1559.63
250.99;delhivery;electronics;van;two day;north;foggy;50.05.00;31.28.00;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;4;346.34.00
250.99;shadowfax;groceries;van;two day;west;foggy;203.03.00;07.05;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000016;no;delivered;4;1039.00.00
250.99;amazon logistics;fragile items;truck;same day;west;hot;127.08.00;20.03;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000008;no;delivered;3;799.09.00
250.99;ekart;groceries;scooter;two day;east;cold;45.08.00;27.22.00;1970-01-01 00:00:00.000000001;1970-01-01 00:00:00.000000016;no;delivered;5;310.66
250.99;shadowfax;groceries;ev bike;same day;west;hot;08.07;33.93;1970-01-01 00:00:00.000000000;1970-01-01 00:00:00.000000008;no;delivered;5;245.29.00
250.99;delhivery;automobile parts;ev van;standard;north;rainy;152.08.00;48.37.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000024;no;delivered;4;909.11.00
250.99;dhl;automobile parts;ev van;same day;south;rainy;29.00.00;40.89;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000008;no;delivered;4;367.67
250.99;dhl;furniture;scooter;standard;north;clear;281.06.00;0,847916667;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000024;no;delivered;3;1467.43.00
250.99;ecom express;electronics;van;same day;east;stormy;75.07.00;41.47.00;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000008;yes;delayed;2;602.91
250.99;blue dart;cosmetics;scooter;standard;north;cold;132.05.00;14.18;1970-01-01 00:00:00.000000003;1970-01-01 00:00:00.000000024;no;delivered;4;705.04.00
250.99;ekart;cosmetics;truck;standard;west;rainy;218.02.00;34.00.00;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000024;no;delivered;5;1193.00.00
250.99;dhl;automobile parts;scooter;express;east;rainy;152.08.00;10.46;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000005;yes;delayed;2;845.38.00
250.99;ecom express;automobile parts;van;same day;west;cold;113.08.00;0,940972222;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000008;no;delivered;3;734.85
250.99;amazon logistics;pharmacy;bike;standard;east;clear;189.03.00;30.78;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000024;no;delivered;5;1038.84
250.99;delhivery;electronics;truck;two day;north;rainy;60.01.00;40.63;1970-01-01 00:00:00.000000005;1970-01-01 00:00:00.000000016;no;delivered;3;422.39.00
250.99;ekart;documents;truck;same day;south;foggy;147.07.00;46.57.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000008;no;delivered;4;978.21.00
250.99;amazon logistics;cosmetics;truck;two day;north;cold;289.00.00;48.99;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000016;no;delivered;4;1591.97
250.99;delhivery;pharmacy;van;express;north;cold;235.06.00;42.35.00;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000006;yes;delayed;3;1355.05.00
250.99;amazon logistics;groceries;ev bike;same day;central;cold;101.01.00;0,427777778;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000008;no;delivered;4;634.78
250.99;ekart;groceries;truck;two day;central;cold;273.09.00;42.56.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000016;no;delivered;3;1497.18.00
250.99;ecom express;cosmetics;scooter;standard;north;clear;262.06.00;29.36.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000024;no;delivered;4;1401.08.00
250.99;ekart;groceries;van;two day;east;clear;82.02.00;0,80625;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;3;467.43.00
250.99;dhl;clothing;truck;same day;south;cold;280.03.00;15.29;1970-01-01 00:00:00.000000007;1970-01-01 00:00:00.000000008;no;delivered;4;1547.37.00
250.99;shadowfax;automobile parts;bike;same day;east;foggy;146.01.00;36.12.00;1970-01-01 00:00:00.000000008;1970-01-01 00:00:00.000000008;yes;delayed;2;938.86
250.99;blue dart;groceries;van;same day;west;clear;279.09.00;0,91875;1970-01-01 00:00:00.000000012;1970-01-01 00:00:00.000000008;yes;failed;2;1564.39.00
250.99;shadowfax;documents;ev van;same day;south;stormy;165.04.00;43.02.00;1970-01-01 00:00:00.000000011;1970-01-01 00:00:00.000000008;yes;delayed;2;1056.06.00
250.99;fedex;electronics;van;two day;central;cold;29.09.00;47.31.00;1970-01-01 00:00:00.000000002;1970-01-01 00:00:00.000000016;no;delivered;3;291.43.00
250.99;amazon logistics;furniture;truck;standard;north;hot;42.06.00;44.55.00;1970-01-01 00:00:00.000000001;1970-01-01 00:00:00.000000024;no;delivered;4;346.65
250.99;ecom express;automobile parts;ev bike;standard;east;foggy;149.09.00;23.31;1970-01-01 00:00:00.000000010;1970-01-01 00:00:00.000000024;no;delivered;4;819.43.00
250.99;shadowfax;clothing;scooter;standard;west;rainy;08.04;44.16.00;1970-01-01 00:00:00.000000004;1970-01-01 00:00:00.000000024;no;delivered;4;174.48.00
250.99;dhl;documents;ev bike;two day;east;hot;230.08.00;30.01.00;1970-01-01 00:00:00.000000006;1970-01-01 00:00:00.000000016;no;delivered;4;1244.03.00
